Timeframe,vg_v_x_point1,vg_v_y_point1,vg_v_z_point1,vg_v_x_point2,vg_v_y_point2,vg_v_z_point2,vg_v_x_point3,vg_v_y_point3,vg_v_z_point3,vg_v_x_point4,vg_v_y_point4,vg_v_z_point4,vg_v_x_point5,vg_v_y_point5,vg_v_z_point5,vg_v_x_point6,vg_v_y_point6,vg_v_z_point6,vg_v_x_point7,vg_v_y_point7,vg_v_z_point7
1448,-380280.8967137191,-358111.2217052107,-120479.21968126799,-280492.4323849261,-317949.5438931701,-151452.362274606,-47865.664952709514,-84058.0595685676,-49051.30360743093,-353944.484305887,-372266.010847457,-63491.13299701581,-364682.5213332738,-357859.4794479971,-121629.11113762695,-366204.13455578394,-358613.1896618789,-101435.3824196476,-372784.7227631442,-355706.208134435,-124189.40867893725
1449,-378477.008230114,-357378.4343205798,-120983.2518323586,-279432.7258427163,-315009.6306166707,-152969.21709440873,-48184.29757692077,-84016.61220650157,-48917.38511305427,-353679.65579196846,-370507.581505452,-61567.75820965802,-362283.49091367266,-356429.5815689738,-122776.81932281291,-364568.2925758366,-357384.82681753417,-102312.53753805325,-371451.24580095115,-354866.5430961798,-125004.0734258185
1450,-376563.3154926248,-356389.2570273676,-121673.64345968707,-278532.95949296013,-312309.6228975002,-154450.7151947767,-48466.774899842705,-84167.42920955602,-48606.87533800845,-353656.7842406604,-368711.1106764154,-59764.23219429982,-359900.960994744,-354736.6515334158,-124051.42546571151,-362738.3794574765,-355801.18270552234,-103390.37860662835,-370017.29351417196,-353930.49726863694,-125741.68317523377
1451,-374540.0016035982,-355179.987731647,-122488.80633336605,-277768.8952175545,-310049.30750653456,-155912.6565381607,-48773.797118349554,-84606.62095784873,-48058.04060384807,-353785.6285061054,-366835.3371172597,-58090.84355730949,-357631.2733336129,-352807.0354394891,-125327.78420932655,-360768.98224111844,-353999.8475579479,-104630.11797586881,-368546.84360336175,-352920.16059585795,-126389.69431801826
1452,-372531.86725404114,-353824.9763780534,-123361.27615721388,-276970.23794565216,-308356.3936392837,-157331.08200358006,-49174.79483902638,-85300.25136379179,-47212.65107863616,-353997.41396858264,-364899.8250587846,-56569.8277553941,-355692.92053246754,-350722.0355619898,-126506.1060168589,-358835.7622737874,-352120.2311554805,-105965.25945059248,-367222.39427909016,-351865.7300642608,-126950.11592653151
1453,-370659.03674537316,-352360.71602846787,-124257.7022083351,-275865.4673579167,-307105.22366750904,-158754.35011260753,-49723.318558322324,-86198.23637919518,-46033.04235094493,-354227.23472260847,-362941.1345533936,-55184.05428671755,-354209.9007811362,-348469.9535175143,-127562.72938622971,-357091.2807946307,-350212.2939469756,-107365.17400940692,-366183.6640733133,-350726.549159711,-127466.57742277205
1454,-369054.90326226776,-350790.41031157406,-125139.85403585908,-274193.5892817653,-306077.692862592,-160170.63215884205,-50531.06486279999,-87186.6939113026,-44552.88372480765,-354428.7653526202,-361004.0506375743,-53955.805502091935,-353234.08593655453,-346032.87282715656,-128471.88899389702,-355677.9504697957,-348247.62318569893,-108784.51523452983,-365528.1496974811,-349436.85538958665,-127943.50512459339
1455,-367743.1541585906,-349022.3865156488,-126008.19827081858,-271712.3123868221,-305011.1234179381,-161647.8175184331,-51719.77079192274,-88272.24473928724,-42820.81837323413,-354596.78377504344,-359011.7893617493,-52855.90314602289,-352712.76939005556,-343295.423608322,-129263.49677911156,-354631.5732178199,-346078.48572136124,-110267.17978068432,-365287.42154400994,-347920.04403476336,-128386.73642736662
1456,-366772.3687643926,-347019.39559920534,-126831.22084684201,-268500.5406303931,-303804.561357992,-163235.62826604687,-53360.82867847506,-89409.28463483418,-41009.6281192388,-354725.2505605336,-356976.14508833457,-51877.44573201474,-352607.20814510953,-340276.80858186196,-129981.88100994547,-353995.2828456204,-343680.2018099135,-111820.10024167942,-365480.44300128816,-346224.15805184783,-128769.77865298552
1457,-366158.66368183657,-344779.7597402991,-127574.7168432717,-264878.88481651957,-302517.81213474576,-165040.62674987578,-55398.01948870273,-90480.10970776247,-39317.803375732634,-354786.68832951057,-354923.3339226455,-50982.98436472082,-352854.749197625,-337104.5963329392,-130678.82220714525,-353769.6406823956,-341073.9326833333,-113392.20661948189,-366014.6022097841,-344432.9787124013,-129041.75465566965
